internal_name,parameter,description
LSRF,LSG_Reference_Speed,[LSRF] Current reference speed being used by the LSG feature
LSRFBFDP,LSG_Adjusted_Ref_Before_Droop,[LSRFBFDP] LSG reference speed before droop
LSRFESDC,LSG_Reference_Speed_Delta,[LSRFESDC] difference between the LSG Breakpoint and the LSG Reference Speed.
LSRFNLFL,No_Load_Fuel_At_LSG_Ref,[LSRFNLFL] No load fueling value at LSG reference speed before droop
LSRFOF,LSG_Reference_Offset,[LSRFOF] offset to low idle reference used in no adjust-to-LSG transition
LSRNFL,LSG_Running_Flag,[LSRNFL] Flag which indicates the LSG alg. shall run
LSRSDYTM,LSG_Reset_Delay_Time,[LSRSDYTM] LSG reset delay time after LSG fueling is not selected
LSRSDYTR,LSG_Reset_Delay_Timer,[LSRSDYTR] Timer tracking time period LSG fueling is not selected
LSTLBKMN,Tool_LSG_Idle_Speed_Lower_Limit,[LSTLBKMN] tool lowest allowable low idle speed
LSTLBKMX,Tool_LSG_Idle_Speed_Upper_Limit,[LSTLBKMX] tool highest allowable low idle speed
LSUSGNST,LSG_User_Gain_State,[LSUSGNST] IDENTIFIES THE CURRENT LSG PID GAIN SET
LS_GOV,Group_LS_GOV,[LS_GOV] LOW SPEED GOVERNOR INFORMATION
MASTSLAV,Group_MASTSLAV,[MASTSLAV] Master/Slave Group
MEMMRK01,Software_MEMMRK01,[MEMMRK01] none
MEMMRK02,Software_MEMMRK02,[MEMMRK02] none
MEMMRK05,Software_MEMMRK05,[MEMMRK05] none
MEMMRK06,Software_MEMMRK06,[MEMMRK06] Memory Marker for start of refreshed parameter block
MEMMRK07,Software_MEMMRK07,[MEMMRK07] Memory Marker for start of refreshed parameter block
MEMMRK08,Software_MEMMRK08,[MEMMRK08] Marks start of Power Down EEPROM
MEMMRK09,Software_MEMMRK09,[MEMMRK09] Marks end of Power Down EEPROM
MLLP,Malfunction_Lamp_Driver,[MLLP] Desired state of the Malfunction_Lamp_Driver output driver.
MSCNFG,MS_Control_Flag,[MSCNFG] Flag in MASTER/SLAVE identifying fueling and timing override in SLAVE.
MSESOD,MS_Override_Engine_Speed,[MSESOD] Master-slave overriding engine speed
MSESODEN,MS_Override_Engine_Speed_Enable,[MSESODEN] Enable allowing overriding of engine speed
MSFNAP,MS_Final_Override_Alpha,[MSFNAP] Alpha value used to override SLAVE ECM.
MSFNODFL,MS_Final_Override_Fueling,[MSFNODFL] Override fueling to slave fuel selection
MSFNODTA,MS_Final_Override_Timing,[MSFNODTA] Override timing to slave timing selection
MSODEN,MS_Override_Enable,"[MSODEN] Enable overriding slave Final_Fueling, Final_Timing"
MTMPRPFL,MT_Max_Torque_At_RPM_Ftlb,[MTMPRPFL] max torque at current rpm in foot-pounds
MTTQMPXA,MT_RPM_Axis,[MTTQMPXA] Table with rpm breakpoints for MTTQMPZA interpolation
MTTQMPYA,MT_Alpha_Axis,[MTTQMPYA] Table with alpha breakpoints for MTTQMPZA interpolation
MTTQMPZA,MT_Max_Torque_Map,[MTTQMPZA] Table with max torque corresp. to MTTQMPXA values
MUX_ERR,Group_MUX_ERR,[MUX_ERR] Multiplexing Errors
MUX_PARA,Group_MUX_PARA,[MUX_PARA] Multiplexing Parameters
MXACDXER,J1939_Mux_APS_Data_Error,[MXACDXER] APS error flag for Throttle indicating bad data. NOT logged as a fault.
MXACSMER,J1939_Mux_APS_System_Error,[MXACSMER] Bit 15 APS/IVS error flag for Throttle indicating bad data. Logged as Mux fault
MXACTMER,J1939_Mux_APS_PGN_Timeout_Error,[MXACTMER] PGN Timeout error flag for APS/IVS/Remote Throttle. NOT logged as a fault.
MXAKPRSA,AC_Pressure_Switch_Source_Address_Enable,[MXAKPRSA] Source Address allowed for MUXing Air Conditioner Pressure Switch parameter
MXAKPRTR,J1939_Air_Conditioner_Pressure_Switch_Input_Timer,[MXAKPRTR] Timer to track time elapsed before AC Pressure Switch is received again
MXAUSHSA,Aux_Shutdown_Switch_Source_Address_Enable,[MXAUSHSA] Source Address allowed for MUXing Auxiliary Shutdown Switch parameter
MXAUSHTR,J1939_Auxiliary_Shutdown_Switch_Timer,[MXAUSHTR] Timer to track time elapsed before Auxiliary Shutdown Switch is received agai
MXBRSWSA,Brake_Switch_Source_Address_Enable,[MXBRSWSA] Source Address allowed for MUXing Brake Switch parameter
MXBRSWTR,J1939_Brake_Switch_Timer,[MXBRSWTR] Timer to track time elapsed before Brake Switch is received again
MXCFER,J1939_Mux_Configuration_Error,[MXCFER] Bit 14 Parameters not properly configured. Logged as a Mux fault.
MXCHSWSA,Clutch_Switch_Source_Address_Enable,[MXCHSWSA] Source Address allowed for MUXing Clutch Switch parameter
MXCHSWTR,J1939_Clutch_Switch_Timer,[MXCHSWTR] Timer to track time elapsed before Clutch Switch is received again
MXCMTHSA,Commanded_Throttle_Source_Address_Enable,[MXCMTHSA] Source Address allowed for MUXing Commmanded Throttle parameter
MXCMTHTR,J1939_Commanded_Throttle_Timer,[MXCMTHTR] Timer to track time elapsed before Commanded Throttle is received again
MXCRONSA,Cruise_On_Switch_Source_Address_Enable,[MXCRONSA] Source Address allowed for MUXing Cruise On Switch parameter
MXCRRUSA,Cruise_Resume_Switch_Source_Address_Enable,[MXCRRUSA] Source Address allowed for MUXing Cruise Resume Switch parameter
MXCRSESA,Cruise_Set_Switch_Source_Address_Enable,[MXCRSESA] Source Address allowed for MUXing Cruise Set Switch parameter
MXDTSWSA,Decrement_Switch_Source_Address_Enable,[MXDTSWSA] Source Address allowed for MUXing Decrement Switch parameter
MXDTSWTR,J1939_Decrement_Switch_Timer,[MXDTSWTR] Timer to track time elapsed before Decrement Switch is received again
MXDUMYSA,Dummy_Switch_Source_Address_Enable,[MXDUMYSA] Unused dummy j1939 switch created to cover GC2 error.
MXDUMYTR,J1939_Dummy_Switch_Timer,[MXDUMYTR] Unused dummy j1939 switch timer created to cover GC2 error.
MXEBLVSA,EB_Switch_Level_Source_Address_Enable,[MXEBLVSA] Source Address allowed for MUXing User requested engine brake parameter
MXEBLVTR,J1939_EB_Switch_Level_Timer,[MXEBLVTR] Timer to track time elapsed before EB Switch Level is received again
MXICSWSA,Increment_Switch_Source_Address_Enable,[MXICSWSA] Source Address allowed for MUXing Increment Switch parameter
MXICSWTR,J1939_Increment_Switch_Timer,[MXICSWTR] Timer to track time elapsed before Increment Switch is received again
MXISSWSA,Idle_Switch_Source_Address_Enable,[MXISSWSA] Source Address allowed for MUXing Idle Switch parameter
MXISSWTR,J1939_Idle_Switch_Timer,[MXISSWTR] Timer to track time elapsed before Idle Switch is received again
MXIVCFER,J1939_Mux_IVS_Configuration_Error,[MXIVCFER] IVS Parameter not properly configured. NOT logged as a fault.
MXLPANEA,J1939_Mux_Limphome_On_AD_Enable,[MXLPANEA] Bit 3 Enabled indicates limphome via MUXing shall use Raw Sampled Throttle.
MXLPRWTH,Mux_Limphome_Raw_Throttle,[MXLPRWTH] takes raw throttle for mux limphome on a2d
MXMNFMSA,Manual_Fan_Level_Source_Address_Enable,[MXMNFMSA] Source Address allowed for MUXing Requested % Fan Speed parameter
MXMNFMTR,J1939_Manual_Fan_Level_Timer,[MXMNFMTR] Timer to track time elapsed before Manual Fan Level is received again
MXMOPZ,Mux_Module_Priority,[MXMOPZ] Priority given which MUXed parameters will use for the priority interface.
MXMOS1,Mux_Module_Source_Address_1,[MXMOS1] Module Source Address as related to the associated parameters for MUXing.
MXMOS2,Mux_Module_Source_Address_2,[MXMOS2] Module Source Address as related to the associated parameters for MUXing.
MXMOS3,Mux_Module_Source_Address_3,[MXMOS3] Module Source Address as related to the associated parameters for MUXing.
MXMOS4,Mux_Module_Source_Address_4,[MXMOS4] Module Source Address as related to the associated parameters for MUXing.
MXMOS5,Mux_Module_Source_Address_5,[MXMOS5] Module Source Address as related to the associated parameters for MUXing.
MXMOS6,Mux_Module_Source_Address_6,[MXMOS6] Unused dummy variable to cover GC2 error.
MXPRTMER,J1939_Mux_PGN_Timeout_Error,[MXPRTMER] Bit 0 PGN Timeout error flag for MUX parameters. Will be logged as Mux fault.
MXPTONSA,PTO_On_Switch_Source_Address_Enable,[MXPTONSA] Source Address allowed for MUXing PTO On Switch parameter
MXPTONTR,J1939_PTO_On_Switch_Timer,[MXPTONTR] Timer to track time elapsed before PTO On Switch is received again
MXPTRUSA,PTO_Resume_Switch_Source_Address_Enable,[MXPTRUSA] Source Address allowed for MUXing PTO Resume Switch parameter
MXPTRUTR,J1939_PTO_Resume_Switch_Timer,[MXPTRUTR] Timer to track time elapsed before PTO Resume Switch is received again
MXPTSESA,PTO_Set_Switch_Source_Address_Enable,[MXPTSESA] Source Address allowed for MUXing PTO set Switch parameter
MXPTSETR,J1939_PTO_Set_Switch_Timer,[MXPTSETR] Timer to track time elapsed before PTO Set Switch is received again
MXROTHSA,Remote_Throttle_Source_Address_Enable,[MXROTHSA] Source Address allowed for MUXing Remote Throttle parameter
MXROTHTR,J1939_Remote_Throttle_Timer,[MXROTHTR] Timer to track time elapsed before Remote Throttle is received again
MXRTDXER,J1939_Mux_Remote_Throttle_Data_Error,[MXRTDXER] Bit 1 Remote Throttle error flag for indicating bad data. Logged as Mux fault.
MXRTSWSA,Remote_Throttle_Switch_Source_Address_Enable,[MXRTSWSA] Source Address allowed for MUXing Remote Throttle Switch parameter
MXRTSWTR,J1939_Remote_Throttle_Switch_Timer,[MXRTSWTR] Timer to track time elapsed before Remote Throttle Switch is received again
MXRXSWSA,Remote_PTO_Switch_Source_Address_Enable,[MXRXSWSA] Source Address allowed for MUXing Remote PTO Switch parameter
MXRXSWTR,J1939_Remote_PTO_Switch_Timer,[MXRXSWTR] Timer to track time elapsed before Remote PTO Switch is received again
MXTESWSA,Test_Switch_Source_Address_Enable,[MXTESWSA] Source Address allowed for MUXing Test Switch parameter
MXTESWTR,J1939_Test_Switch_Timer,[MXTESWTR] Timer to track time elapsed before Test Switch is received again
MXTHILSA,Accel_Interlock_Switch_Source_Address_Enable,[MXTHILSA] Source Address allowed for MUXing Accelerator Interlock Switch parameter
MXTQSWSA,Torque_Derate_Switch_Source_Address_Enable,[MXTQSWSA] Source Address allowed for MUXing Torque Derate Switch parameter
MXTQSWTR,J1939_Torque_Derate_Switch_Timer,[MXTQSWTR] Timer to track time elapsed before Torque Derate Switch is received again
MXWTPRSA,Wet_Tank_Pressure_Source_Address_Enable,[MXWTPRSA] Source Address allowed for MUXing Wet Tank Pressure parameter
MXWTPRTR,J1939_Wet_Tank_Pressure_Timer,[MXWTPRTR] Timer to track time elapsed before Wet Tank Pressure is received again
NLCLFLXA,Coolant_Fuel_Bkpt,[NLCLFLXA] Coolant temperature adjustment breakpoint table for no load fuel
NLCLFLYA,Coolant_Fuel_Adjust_Table,[NLCLFLYA] Coolant temperature based fuel adjustment to no load fuel
NLFCFLXA,Friction_Fuel_Bkpt,[NLFCFLXA] No load fuel breakpoint table
NLFCFLYA,Friction_Fuel_Table,[NLFCFLYA] Estimated no load fuel based on engine speed
NLFL,No_Load_Fuel,[NLFL] Fuel required to overcome friction
NOLOAD_F,Group_No_Load_Fueling,[NOLOAD_F] No load fueling Group
NRESETSE,Reset_Count,[NRESETSE] CUMULATIVE COUNT OF NON-POWER UP RESETS
NZESAGEN,ANC_Speed_Algorithm_Enable,[NZESAGEN] Enable for speed limiting of the acceleration noise control algorithm
NZFLAGEN,ANC_Fuel_Algorithm_Enable,[NZFLAGEN] Enable for fuel limiting of the acceleration noise control algorithm
NZFLLMSS,ANC_Fuel_Limit_Status,[NZFLLMSS] Sstatus indicating conditions proper for a fuel limit
NZTAAGEN,ANC_Timing_Algorithm_Enable,[NZTAAGEN] Enable for timing advance of the acceleration noise control algorithm
NZTALM,ANC_Timing,[NZTALM] Timing advance limit as determined by ANC
NZTALMIH,ANC_Timing_Limit_Inhibit,[NZTALMIH] ANC timing limit disable due to bare engine accel
NZTALMSS,ANC_Timing_Limit_Status,[NZTALMSS] Status indicating conditions proper for a timing limit
OBDPAD1,OBD_Padding_1,[OBDPAD1] Padding byte to make obd_pwrdn.h word even.
OCEA,OCM_Enable,"[OCEA] Enables Oil Change Monitor Feature, bit 13 of 0-15 of Word C"
OCFUSS,OCM_Fault_Status,[OCFUSS] Set when any fault is active which may affect the OCM data
OCITML,OCM_Interval_Multi_Factor,[OCITML] Used to modify default values to comp for spl oils/conditions
OCITWNFG,OCM_Interval_Warning_Flag,[OCITWNFG] Set when leading threshold has expired - Time to change oil
OCMIDC,OCM_Delta_Miles,[OCMIDC] VEHICLE MILES SINCE LAST OCM RESET.(SEVERITY FACTOR IS APPLIED TO THE VALUE)
OCMITD,OCM_Miles_Threshold,[OCMITD] If number of miles traveled > this parameter then oil change needed
OCMNITML,OCM_Multi_Factor_Tool_LL,[OCMNITML] Min value for default multi_factor set by service tool
OCMXITML,OCM_Multi_Factor_Tool_UL,[OCMXITML] Max value for default multi_factor set by service tool
OCM_07,Group_OCM_07,"[OCM_07] Oil Change Monitor (OCM) parameters, subfile 07"
OCM_08,Group_Maintenance_Monitor_8,[OCM_08] Maintenance Monitor Group
OCOP,OCM_Option,"[OCOP] User Mode select: 0=AUTOMATIC, 1=HOURS, 2=FUEL, 3=OTHER, 4=CORS"
OCRNSTEA,OCM_Warning_While_Running,[OCRNSTEA] Enables use of warning light with engine in Run_State
OCRSFG,OCM_Reset_Flag,[OCRSFG] Indicates a manual reset was performed on OCM data
OCTDPCWN,OCM_Warning_Percent,[OCTDPCWN] Early warning of OCM Interval expiring (User programmable)
OCTLHRMN,OCM_User_Hours_Tool_LL,[OCTLHRMN] Lower limit for tool input of User Hours (Manual mode)
OCTLHRMX,OCM_User_Hours_Tool_UL,[OCTLHRMX] Upper limit for tool input of User Hours (Manual mode)
OCTLPCMN,OCM_Warning_Percent_Tool_LL,[OCTLPCMN] Lower limit on tool input of pct interval to set warning flag
OCTLPCMX,OCM_Warning_Percent_Tool_UL,[OCTLPCMX] Upper limit on tool input of pct interval to set warning flag
OCTLSHMN,Tool_HS_Load_Factor_Shutdown_LL,[OCTLSHMN] Tool minimum for Hot Shutdown Load Factor Threshold
OCTLSHMX,Tool_HS_Load_Factor_Shutdown_UL,[OCTLSHMX] Tool minimum for Hot Shutdown Load Factor Threshold
OCUOHR,OCM_User_Hours,[OCUOHR] OCM Interval hours (threshold) set by user in Manual Mode
OCUOMI,OCM_User_Miles,[OCUOMI] NUMBER OF MILES TO TRIGGER OCM RESET IN THE MILES MANUAL MODE. CUSTOMER PROGRAM
PAGE_1,Software_PAGE_1,[PAGE_1] None
PAGE_2,Software_PAGE_2,[PAGE_2] None
PAGE_4,Software_PAGE_4,[PAGE_4] None
PAGE_5,Software_PAGE_5,[PAGE_5] None
PPAESE,PP_Active_Selection,[PPAESE] Current torque curve as specified by the Programmable Power feature
PPEN,Programmable_Power_Enable,"[PPEN] Programmable Power, bit 9 of 0 to 15, word 12h/18d"
PPTHES03,Throttle_Speed_At_Point_3,[PPTHES03] Jcomm Speed at point 3 for broadcast
PPTHES04,Throttle_Speed_At_Point_4,[PPTHES04] Jcomm Speed at point 4 for broadcast
PPTHES05,Throttle_Speed_At_Point_5,[PPTHES05] Jcomm Speed at point 5 for broadcast
PREFAULT,Software_PREFAULT,[PREFAULT] PREVIOUS FAULT STATUS
PRGSHFT2,Group_PROGSHFT_2,[PRGSHFT2] PROGRESSIVE SHIFT GROUP
PROG_PWR,Group_PROG_PWR,[PROG_PWR] Group Identifier for Programmable Power feature
PSAGEN,Prog_Shift_Enable,[PSAGEN] Bit 5 of 0-15. Customer trim flag to enable/disable Prog. Shift feature.
PTAERT,PTO_Engagement_Slew_Rate,[PTAERT] The rate at which PTO engages in rpm/sec.
PTAGEN,PTO_Enable,[PTAGEN] Bit 4 of 0-15. parameter used to enable/disable PTO operation
PTAJDG,PTO_QD_Adjustment,[PTAJDG] Adjustment (multiplication) of the governer D gain.
PTAJIG,PTO_QI_Adjustment,[PTAJIG] Adjustment (multiplication) of the governer I gain.
PTAJPG,PTO_QP_Adjustment,[PTAJPG] Adjustment (multiplication) of the governer P gain.
PTBRODEN,PTO_Brake_Override_Enable,"[PTBRODEN] When enabled, it allows the brake to cancel Cab PTO. Word C bit B"
PTCHODEN,PTO_Clutch_Override_Enable,"[PTCHODEN] When enabled, it allows the clutch to cancel Cab PTO. Word C bit C"
PTDP,PTO_Droop,[PTDP] Tool PTO Droop Percent adjustable parameter
PTDPAJFL,PTO_Droop_Adjusted_Fueling,[PTDPAJFL] Droop needed fuel produced by prop. term
PTDPSL,PTO_Droop_Slope,[PTDPSL] RPM droop at one unit fuel increase
PTDPSLWD,PTO_Droop_Slope_Width,[PTDPSLWD] Customer chosen pto droop in units of rpm
PTDRER,PTO_Droop_Compensated_Error,[PTDRER] Droop compensated error term.
PTDSFG,PTO_Disable_Flag,[PTDSFG] Disables PTO when requested by another algorithm.
PTDSRF,PTO_Requested_Speed,[PTDSRF] Engine speed reference selected for PTO when engaged
PTDVFL,PTO_Derivative_Term,[PTDVFL] calculated based upon error term and execution rate
PTDVGN,PTO_Derivative_Gain,[PTDVGN] used in calculation of pto derivative term
PTDXSS,J1939_PTO_State,[PTDXSS] J1939 Defined PTO States
PTERR,PTO_Filtered_Error_Term,[PTERR] Gain adjusted and filtered value of control error.
PTESHILM,Tool_PTO_Max_Reference_Speed_Upper_Limit,[PTESHILM] High limit for max. pto setpoints
PTESLOLM,Tool_PTO_Max_Reference_Speed_Lower_Limit,[PTESLOLM] Low limit for max. pto setpoints
PTFL,PTO_Fueling,"[PTFL] sum of derivative , proportional and integral fueling"
PTFTTC,PTO_Error_Filter_Constant,[PTFTTC] PD governor error filter constant
PTGM,PTO_Gain_Adj_Mode,[PTGM] Control the gain adjustment calculation (0=CALCULATED 1=TABLE)
PTGNAJOF,PTO_Gain_Adjust_Offset,[PTGNAJOF] offset used to obtain calculated pto proportional gain
PTGNAJSL,PTO_Gain_Adjust_Slope,[PTGNAJSL] slope used to obtain calculated pto proportional gain
PTGNTB,PTO_Gain_Adjust_Table,[PTGNTB] Gain adjustment in function of RPM
PTITFL,PTO_Integral_Fueling,[PTITFL] PTO integral term
PTITGN,PTO_Integral_Constant,[PTITGN] integral constant used to integral fueling calculation
PTMNEGES,PTO_Minimum_Engage_Speed,[PTMNEGES] min engine speed for PTO engagement
PTMNFTRF,PTO_Filter_Clamp_Min,[PTMNFTRF] Min. allowed error term
PTMNLMFL,PTO_Fueling_Clamp_Min,[PTMNLMFL] min. allowed fueling
PTMNRFES,Tool_PTO_Minimum_Reference_Speed,[PTMNRFES] min range limit for pto setpoints
PTMNRFLL,Tool_PTO_Min_Reference_Speed_Lower_Limit,[PTMNRFLL] Lowest allowed value for PTO_Minimum_Reference_Speed entered on tool.
PTMNRFRP,PTO_Minimum_Reference_Speed,[PTMNRFRP] min range limit for pto setpoints
PTMXEGES,PTO_Maximum_Engage_Speed,[PTMXEGES] max engine speed for PTO engagement
PTMXEGLD,PTO_Max_Engine_Load,[PTMXEGLD] Maximum Engine Load allowed during PTO operation
PTMXFTRF,PTO_Filter_Clamp_Max,[PTMXFTRF] Max. allowed error term
PTMXLMFL,PTO_Fueling_Clamp_Max,[PTMXLMFL] max. alloved fueling
PTMXRFES,PTO_Maximum_Reference_Speed,[PTMXRFES] max range limit for pto setpoints
PTMXVSTR,PTO_Max_Road_Speed,[PTMXVSTR] Road speed above which PTO will become disabled
PTO,Group_PTO,[PTO] PTO CALIBRATIONS AND OUTPUTS
PTODELTA,PTO_Delta_Droop,"[PTODELTA] (PTO Max Droop - PTO Min Droop) / (PTO Max Droop Rpm- PTO Min Droop Rpm), calcu"
PTORESDV,PTO_Resume_Speed_Display_Value,[PTORESDV] PTO RESUME SPEED DISPLAY VALUE
PTOSDVMN,PTO_Set_Speed_Display_Value_Lower_Limit,[PTOSDVMN] PTO Set Speed Display Value Lower Limit
PTOSDVMX,PTO_Set_Speed_Display_Value_Upper_Limit,[PTOSDVMX] PTO Set Speed Display Value Upper Limit
PTOSETDV,PTO_Set_Speed_Display_Value,[PTOSETDV] PTO SET SPEED DISPLAY VALUE
PTO_07,Group_PTO_07,[PTO_07] PTO CALIBRATIONS AND OUTPUTS IN SUBFILE 07
PTPDFL,PTO_PD_Fueling,[PTPDFL] Proportional and derivative fueling
PTPPFL,PTO_Proportional_Term,[PTPPFL] proportional fueling contribution
PTPPGN,PTO_Proportional_Gain,[PTPPGN] proportional gain of PID controller
PTP_07,Group_POWERTRAIN_PROTECTION_8,[PTP_07] Group containing electronic constants for Powertrain Protection
PTQDEN,PTO_QD_Enable,[PTQDEN] Enable/Disable for Quadratic D-gain adjustment.
PTQDLM,PTO_QD_Ref_Limit,[PTQDLM] Limits QD Adjustment if Ref Speed change causes the error term.
PTQIEN,PTO_QI_Enable,[PTQIEN] Enable/Disable for Quadratic I-gain adjustment.
PTQILM,PTO_QI_Ref_Limit,[PTQILM] Limits QI Adjustment if Ref Speed change causes the error term.
PTQPEN,PTO_QP_Enable,[PTQPEN] Enable/Disable for Quadratic P-gain adjustment.
PTQPLM,PTO_QP_Ref_Limit,[PTQPLM] Limits QP Adjustment if Ref Speed change causes the error term.
PTRFCHLM,PTO_Reference_Change_Limit,[PTRFCHLM] Out of limit indicates reference speed change.
PTRFLM,PTO_Reference_Step_Limit,[PTRFLM] Min. step change of Reference speed
PTRFRMRT,PTO_Ramp_Rate,[PTRFRMRT] accel and coast ramp rate
PTRFRMTC,PTO_Reference_Ramp_Const,[PTRFRMTC] Reference speed change const.
PTRFRP,PTO_Reference_Speed,[PTRFRP] reference engine speed to PTO governor
PTROMXCU,PTO_Remote_Count_Limit,[PTROMXCU] The maximum number of toggles that the remote PTO switch recognizes
PTRORF02,PTO_Remote_Speed_2,[PTRORF02] The remote PTO setspeed used when the Remote PTO switch is toggled twice.
PTRORF03,PTO_Remote_Speed_3,[PTRORF03] The remote PTO setspeed used when the Remote PTO switch is toggled three times.
PTRORF04,PTO_Remote_Speed_4,[PTRORF04] The remote PTO setspeed used when the Remote PTO switch is toggled four times.
PTRORF05,PTO_Remote_Speed_5,[PTRORF05] The remote PTO setspeed used when the Remote PTO switch is toggled five times.
PTROSEES,PTO_Remote_Speed,[PTROSEES] Engine speed set point for remote PTO operation
PTROSWTM,PTO_Remote_Switch_Timeout,[PTROSWTM] Amount of time before remote pto switch is considered stationary.
PTRUES,PTO_Resume_Speed,[PTRUES] reference speed when PTO enabled and resume switch is pressed
PTSEES,PTO_Set_Speed,[PTSEES] PTO reference speed when PTO enabled and set switch is pressed
PTSERUES,PTO_Set_Resume_Speed,[PTSERUES] PTO target speed when both Set and Resume switches are active
PTSLFL,Selected_User_Fueling,[PTSLFL] The fueling value selected between user fueling and pto fueling
PTSLFLST,Selected_User_Fueling_State,[PTSLFLST] Selected fueling state from pto fl. state and user fl. state
PTSPAX,PTO_Gain_Speed_Axis,[PTSPAX] Speed axis to PTO_Gain_Adjust_Table
PTSS,PTO_Status,[PTSS] Status of the PTO algorithm based on switch activation and cab interaction
PTST,PTO_State,"[PTST] 0=REMOTE_COUNT, 1=REMOTE_RUN, 2=WAIT, 3=NORMAL"
PTSTSZ,PTO_Status_Adj_Size,[PTSTSZ] Indicates the size of the pto_status trims.
PTTHDQRP,PTO_Throttle_Derate_RPM,[PTTHDQRP] Max engine speed while throttle fueling overrides pto fueling
PTTHOV,PTO_Throttle_Override,[PTTHOV] Indicates whether throttle based fueling is overriding pto fueling
PTTHOVEN,PTO_Throttle_Override_Enable,[PTTHOVEN] Bit 13 of 0-15. Calibration indicator as to whether throttle depression disabl
PTTLADMN,Tool_PTO_Droop_Adj_Slope_Minimum,[PTTLADMN] Tool minimum limit for PTO Droop Adjust Offset adjustable parameter
PTTLADMX,Tool_PTO_Droop_Adj_Slope_Maximum,[PTTLADMX] Tool maximum limit for PTO Droop Adjust Offset adjustable parameter
PTTLESMN,Tool_PTO_Engagement_Slew_Rate_Minimum,[PTTLESMN] Tool lower limit on PTO_Engagement_Slew_Rate
PTTLESMX,Tool_PTO_Engagement_Slew_Rate_Maximum,[PTTLESMX] Tool upper limit on PTO_Engagement_Slew_Rate
PTTLOFMN,Tool_PTO_Droop_Adj_Offset_Minimum,[PTTLOFMN] Tool minimum limit for PTO Droop Adjust Offset adjustable parameter
PTTLOFMX,Tool_PTO_Droop_Adj_Offset_Maximum,[PTTLOFMX] Tool maximum limit for PTO Droop Adjust Offset adjustable parameter
PTTLRRMN,Tool_PTO_Ramp_Rate_Minimum,[PTTLRRMN] Tool lower limit on PTO_Ramp_Rate
PTTLRRMX,Tool_PTO_Ramp_Rate_Maximum,[PTTLRRMX] Tool upper limit on PTO_Ramp_Rate
PTTLRSMX,Tool_PTO_Max_Road_Speed_Max,[PTTLRSMX] Tool upper limit on PTO_Max_Road_Speed
PTTLSLMN,Tool_PTO_Droop_Slope_Minimum,[PTTLSLMN] Tool minimum limit for PTO Droop Slope adjustable parameter
PTTLSLMX,Tool_PTO_Droop_Slope_Maximum,[PTTLSLMX] Tool maximum limit for PTO Droop Slope adjustable parameter
PTTOMXES,PTO_Throttle_Override_Max_RPM,[PTTOMXES] The maximum RPM that throttle can override PTO
RREN,RAM_Refresh_Enable,[RREN] ENABLES COMPARE RAM TO EEPROM ALGORITHM
RRPWEA,Powerdown_Refresh_Enable,[RRPWEA] When this flag is FALSE RAM refresh is disabled for part of FLASH parameter blo
RSAGEN,Road_Speed_Governor_Enable,"[RSAGEN] Bit 7, Enable/Disable Road Speed Governor for engineering use"
RSBDWDMX,Tool_RSG_Bottom_Droop_Width_Upper_Lim,[RSBDWDMX] MAXMIMUM WIDTH OF THE BOTTOM DROOP IN RSG.
RSMXRZ,Max_Road_Speed,[RSMXRZ] MAX. VEHICLE SPEED IN TG (ANY GEAR w/o GD) after Driver Reward adjustment
RSMXRZTN,Max_Road_Speed_Trim,[RSMXRZTN] MAXIMUM ALLOWABLE VEHICLE SPEED FOR RSG IN TOP GEAR (ANY GEAR IF GD DISABLED)
RSTDWDMX,Tool_RSG_Top_Droop_Width_Upper_Lim,[RSTDWDMX] MAXMIMUM WIDTH OF THE TOP DROOP IN RSG.
RTC,Group_RTC,[RTC] Real Time Clock Parameters
RTTMST,ECM_Time_State,[RTTMST] Current state of ECM Run Time or ECM Real Time
SCNWFNFL,Injected_Fueling,[SCNWFNFL] Quantity of fuel to be injected during next injection cycle
SDDLCU,Powerdown_Data_Lost,"[SDDLCU] Number of consecutive occurances of powerdown data lost, updated each powerup"
SDDLERLM,Powerdown_Data_Lost_Error_Limit,[SDDLERLM] Number of consecutive occurances of powerdown data lost to set system error
SDDYFG,Powerdown_Delay_Request,[SDDYFG] The ECM will not powerdown until this is inactive
SDDYTM,ECM_Powerdown_Timer_Threshold,[SDDYTM] The ECM will powerdown when this time expires or before
SDDYTR,ECM_Powerdown_Timer,[SDDYTR] The ECM will powerdown when this timer expires or before
SDEEENMK,EEPROM_Image_End_Marker,[SDEEENMK] End of RAM image of EEPROM data
SDEESRMK,EEPROM_Image_Start_Marker,[SDEESRMK] Start of RAM image of EEPROM data
SDEEWRFU,EEPROM_Failed_To_Program,[SDEEWRFU] A status indicator saved to EEPROM indicating a failure of one or more EEPROM c
SDENER,Poweroff_Command_Ignored,[SDENER] A status indicator saved to EEPROM indicating power was commanded off and is st
SDFHFXER,Flash_Failure_Error,[SDFHFXER] Error indicating that a Flash write failure has been detected. Bit 4 of 0-15.
SDFHFXFG,Flash_Failure_Flag,[SDFHFXFG] Flag stored in EEPROM which indicates a Flash write failure has been detected.
SDFHPNEA,Parameter_Block_Protection_Enable,[SDFHPNEA] Enable to protects parameter block data at powerdown. ENABLE=preserve 1 block
SDPREDMK,Parameter_Block_Image_End_Marker,[SDPREDMK] End of RAM image of downloaded parameter block data
